Country Name,Country Code,PCA1,PCA2,KMeans_Cluster,Agg_Cluster
Panama,PAN,0.40610848233704194,-0.41374325254858024,2,1
Papua New Guinea,PNG,-2.6479076179986736,-0.7942699856472509,1,0
Paraguay,PRY,-0.15643055728095157,0.3143247843175496,2,1
Peru,PER,0.2808616153565685,-0.38797654247696167,2,1
Philippines,PHL,-0.7613749951093619,-0.30763038751573013,2,1
Poland,POL,1.200412155673509,0.26640533276140693,2,1
Portugal,PRT,1.3903402724984153,1.1283223635553286,2,1
Puerto Rico,PRI,1.6895719545337191,0.9163428260082794,2,1
Qatar,QAT,6.30303189703213,-4.267031312373531,0,2
Romania,ROU,0.1255929017172202,0.20890492942983116,2,1
Russian Federation,RUS,1.4505765197591922,-1.03245621030218,0,2
Rwanda,RWA,-3.02383672739568,-1.0411144954675462,1,0
Samoa,WSM,-0.7028558492250564,0.649341594780548,2,1
San Marino,SMR,1.8687029901188479,-0.42876848893654174,0,2
Sao Tome and Principe,STP,-1.5078458962350094,1.0930477892289578,1,0
Saudi Arabia,SAU,2.179988585539137,-0.9781439014685286,0,2
Senegal,SEN,-1.8588379900833252,0.2755243362801339,1,0
Serbia,SRB,0.7072886648781087,1.874830289424655,2,1
Seychelles,SYC,0.9385720903496124,-0.144450350042091,2,1
Sierra Leone,SLE,-3.551413950824036,-0.41217638768031856,1,0
Singapore,SGP,3.9853693539454587,-1.2925023239027518,0,2
Sint Maarten (Dutch part),SXM,2.1328963503341183,-0.8565304708962236,0,2
Slovak Republic,SVK,1.3534191943064322,0.9398510221651413,2,1
Slovenia,SVN,1.7060830762338304,0.6818429285596852,2,1
Solomon Islands,SLB,-2.1053666206675916,-0.6711662425229137,1,0
Somalia,SOM,-3.185563382765259,0.8644940614562756,1,0
South Africa,ZAF,-0.5447724552590154,2.2622466832000843,2,0
South Sudan,SSD,-3.5359078480522066,0.5638943297386982,1,0
Spain,ESP,2.1556072737749274,2.620321481831014,2,1
Sri Lanka,LKA,-0.8732641053519573,0.12505465355754436,2,1
St. Kitts and Nevis,KNA,0.4956022896391801,-0.00972468638869354,2,1
St. Lucia,LCA,-0.23058856460797061,2.429290597102196,2,1
St. Vincent and the Grenadines,VCT,0.06591309234848423,1.9926264966218907,2,1
